DSKCORPRO066501;OI344469
LAPCORPRJ094867;OI328170
LAPCORPRJ096707;OI328693
LAPCORPRJ099256;BT050316
LAPCORPRJ093846;OI034398
LAPCORPRJ100324;OI140994
LAPCORPRJ100327;OI273862
LAPCORPRJ100335;OI328185
LAPCORPRJ100388;OI342402
LAPCORPRJ104127;OI332326
LAPCORPRJ104849;OI328331
LAPCORPRJ104851;OI309160
LAPCORPRJ104886;OI370477
LAPCORPRJ104892;OI404129
LAPCORPRJ104998;OI158682
LAPCORPRJ105066;OI312263
LAPCORPRJ105096;OI157257
LAPCORPRJ105146;OI274838
LAPCORPRJ105176;OI56463
LAPCORPRJ105180;OI310027
LAPCORPRJ105189;OI309651
LAPCORPRJ105209;OI305558
LAPCORPRJ105227;OI13575
LAPCORPRJ100547;OI038144
LAPCORPRJ100613;OI205382
LAPCORPRJ100632;OI42267
LAPCORPRJ100639;OI312115
LAPCORPRJ100693;OI209147
LAPCORPRJ100747;OI332326
LAPCORPRJ100757;OI309991
LAPCORPRJ100758;OI309615
LAPCORPRJ100759;OI209649
LAPCORPRJ102125;OI404363
LAPCORPRJ102163;OI76074
LAPCORPRJ102204;OI273287
LAPCORPRJ102562;OI215781
LAPCORPRJ102616;OI177211
LAPCORPRJ102667;OI221694
LAPCORPRJ102734;OI035120
LAPCORPRJ102737;OI405523
LAPCORPRJ102789;OI342402
LAPCORPRJ102803;OI104791
LAPCORPRJ102842;OI269206
LAPCORPRJ102890;OI330950
LAPCORPRJ102904;OI209149
LAPCORPRJ102914;OI193298
LAPCORPRJ102925;OI322002
LAPCORPRJ102933;OI42152
LAPCORPRJ102948;OI345868
LAPCORPRJ102978;OI309331
LAPCORPRJ102985;OI405522
LAPCORPRJ102994;OI348979
LAPCORPRJ068832;OI404343
LAPCORPRJ035029;OI328648
LAPCORPRJ073080;OI344646
LAPCORPRJ090848;OI231171
LAPCORPRJ09289;OI332079
LAPCORPRJ100505;OI037221
LAPCORPRJ095546;OI141573
LAPCORPRJ100549;OI328238
DSKCORPRJ055963;OI336769
DSKCORPRJ055971;OI036313
DSKCORPRJ057521;SC004177
DSKCORPRJ057727;OI145642
DSKCORPRJ057732;OI34377
DSKCORPRJ057793;OI340616
DSKCORPRJ057856;OI343323
DSKCORPRJ057911;OI150658
DSKCORPRJ057954;OI273836
DSKCORPRJ057958;OI332059
DSKCORPRJ059058;OI312783
DSKCORPRJ059092;OI309778
DSKCORPRJ059130;OI273684
DSKCORPRJ059425;OI328512
DSKCORPRJ059727;OI307033
DSKCORPRJ059731;OI309640
DSKCORPRJ059911;OI318750
DSKCORPRJ059920;OI369352
DSKCORPRJ059937;oi308155
DSKCORPRJ060185;CR018362
DSKCORPRJ060327;OI311735
DSKCORPRJ060551;OI344556
DSKCORPRJ060606;OI318054
DSKCORPRJ060936;OI306651
DSKCORPRJ060948;OI314255
DSKCORPRJ060957;OI305396
DSKCORPRJ061022;OI300600
DSKCORPRJ061116;OI309331
DSKCORPRJ061129;OI317735
DSKCORPRJ061130;OI121572
DSKCORPRJ061145;OI369352
DSKCORPRJ061186;OI270334
DSKCORPRJ061240;OI306222
DSKCORPRJ061262;OI323144
DSKCORPRJ061263;OI119233
DSKCORPRJ061264;OI205387
DSKCORPRJ061266;OI348893
DSKCORPRJ061271;OI308558
DSKCORPRJ061278;OI274133
DSKCORPRJ061300;OI308053
DSKCORPRJ061302;OI345343
DSKCORPRJ061315;OI313894
DSKCORPRJ061334;OI273380
DSKCORPRJ061385;OI394676-OI340806-OI327192-OI371044-OI034468-OI394659-OI328643-OI328325-OI328361-OI310760-OI229907
DSKCORPRJ061513;OI145583
DSKCORPRJ061520;OI145572
DSKCORPRJ061521;OI154817
DSKCORPRJ061582;OI415179
LAPCORPRJ104747;BT023691
DSKCORPRJ061601;CR018362
DSKCORPRJ061617;OI38961
DSKCORPRJ061645;OI331147
DSKCORPRJ061648;OI209300
DSKCORPRJ061671;OI113296
DSKCORPRJ061696;OI083077
DSKCORPRJ061702;OI161974
DSKCORPRJ061705;307605
DSKCORPRJ061710;OI234602
DSKCORPRJ061714;273429
DSKCORPRJ061715;273401
DSKCORPRJ061811;OI310069
DSKCORPRJ061834;OI315408
DSKCORPRJ061896;261489-87291
DSKCORPRJ062349;OI32703
DSKCORPRJ062358;155917
DSKCORPRJ062398;OI145661-OI273684
DSKCORPRJ062402;OI42073
DSKCORPRJ062408;OI412010
DSKCORPRJ062413;OI327063
DSKCORPRJ062418;OI105057
DSKCORPRJ062419;oi034933
DSKCORPRJ062421;OI035031
DSKCORPRJ062423;OI112339
DSKCORPRJ062430;OI322478
DSKCORPRJ062432;OI121543
DSKCORPRJ062435;OI309552
DSKCORPRJ062437;OI318756
DSKCORPRJ062438;OI13466
DSKCORPRJ062444;OI59765
DSKCORPRJ062448;OI317274
DSKCORPRJ062450;OI13590
DSKCORPRJ062451;OI274195
DSKCORPRJ062452;OI62181
DSKCORPRJ062459;OI274582
DSKCORPRJ062464;OI309579
DSKCORPRJ062470;OI327086
DSKCORPRJ062477;OI368390
DSKCORPRJ062487;OI313335
DSKCORPRJ062493;198480
DSKCORPRJ062570;OI209435
DSKCORPRJ062660;OI341175
DSKCORPRJ062719;OI311827
DSKCORPRJ062724;OI71700
DSKCORPRJ062811;55231
DSKCORPRJ063706;OI274334
DSKCORPRJ064132;67548
DSKCORPRJ064190;OI273837
DSKCORPRJ064200;OI34694
DSKCORPRJ064203;OI310351
DSKCORPRJ064213;OI308647
DSKCORPRJ064216;145571
DSKCORPRJ064226;OI145509
DSKCORPRJ064252;OI58279
DSKCORPRJ064260;OI187569-187569
DSKCORPRJ064283;OI311871
DSKCORPRJ064284;OI314086
DSKCORPRJ064285;OI328088
DSKCORPRJ064287;OI21621
DSKCORPRJ064353;308357
DSKCORPRJ064525;214046
DSKCORPRJ064542;OI342453
DSKCORPRJ064543;OI318820
DSKCORPRJ064617;142755
DSKCORPRJ064638;OI322634
DSKCORPRJ064642;145634
DSKCORPRJ064644;OI342236
DSKCORPRJ064659;OI348979
DSKCORPRJ064795;OI340234
DSKCORPRJ064854;OI309935
DSKCORPRJ064859;OI312609
DSKCORPRJ064882;OI167954
DSKCORPRJ064885;OI331348
DSKCORPRJ064896;ARMANDAF
DSKCORPRJ064946;OI348713
DSKCORPRJ064954;OI311073
DSKCORPRJ064961;OI315730
DSKCORPRJ064984;OI344383
DSKCORPRJ064988;OI144039
DSKCORPRJ065000;OI320081
DSKCORPRJ065743;TERZIANI
DSKCORPRJ065772;OI318822
DSKCORPRJ065773;OI328627
DSKCORPRJ065785;OI395605
DSKCORPRJ065795;OI328709
DSKCORPRJ065815;OI336043
DSKCORPRJ065869;OI326710
DSKCORPRJ065889;OI326789
DSKCORPRJ065922;OI121695
DSKCORPRJ065924;OI315487
DSKCORPRJ065976;OI330834
DSKCORPRJ065979;OI311580
DSKCORPRJ065999;273861
DSKCORPRJ066001;OI311772
DSKCORPRJ067008;OI143772
DSKCORPRJ067028;OI199274
DSKCORPRJ067037;OI13152
DSKCORPRJ067040;OI57310
DSKCORPRJ067043;OI039086
DSKCORPRJ067044;OI162888
DSKCORPRJ067045;OI33695
DSKCORPRJ067049;274194
DSKCORPRJ067053;OI64058
DSKCORPRJ067066;OI121521
DSKCORPRJ067074;OI016664
DSKCORPRJ067075;OI270344
DSKCORPRJ067080;OI371041
DSKCORPRJ067087;TR381200
DSKCORPRJ067089;205337
DSKCORPRJ067093;OI161675-OI413504
DSKCORPRJ067094;OI403228
DSKCORPRJ067129;TR381339
DSKCORPRJ067133;OI345771
DSKCORPRJ067134;OI345353
DSKCORPRJ067140;OI145618
DSKCORPRJ067145;OI345436
DSKCORPRJ067154;OI209309
DSKCORPRJ067155;OI020073
DSKCORPRJ067161;OI257408
DSKCORPRJ067165;OI312102
DSKCORPRJ067167;13046
DSKCORPRJ067170;OI36898
DSKCORPRJ068259;OI321071
DSKCORPRJ068286;91991
DSKCORPRJ068290;OI267245
DSKCORPRJ068298;OI307070
DSKCORPRJ068330;OI348900
DSKCORPRJ068353;OI119240
DSKCORPRJ068376;OI163305
DSKCORPRJ068400;OI273809
DSKCORPRJ068437;OI322398
DSKCORPRJ068456;35371
DSKCORPRJ068497;OI261491-OI308696
DSKCORPRJ068528;OI343215
DSKCORPRJ068605;145616
DSKCORPRJ068651;OI223258
DSKCORPRJ068673;98242
DSKCORPRJ068709;OI316625
DSKCORPRJ068709;TC044493
DSKCORPRJ068741;35371
DSKCORPRJ068751;32871
DSKCORPRJ068754;OI70804
DSKCORPRJ068757;OI308662
DSKCORPRJ069210;oi274307
DSKCORPRJ069274;OI312115
DSKCORPRJ069352;SC005704
DSKCORPRJ069383;OI42073
DSKCORPRJ069308;OI105268
DSKCORPRJ069676;OI91451
DSKCORPRJ069997;OI209294
DSKCORPRJ069998;12924
DSKCORPRJ070005;OI343711
DSKCORPRJ70019;OI394637-OI121961
DSKCORPRJ070021;K11931
DSKCORPRJ070032;TR544403
DSKCORPRJ070044;OI330946
DSKCORPRJ070053;OI346158-OI303145-OI310857-OI306228-OI345366-OI341173
DSKCORPRJ070061;OI328499
DSKCORPRJ070127;OI100588
DSKCORPRJ070183;OI303145-OI310857-OI306228-OI345366-OI341173
DSKCORPRJ070391;OI59776
DSKCORPRJ070573;OI328074
DSKCORPRJ070710;OI344530
DSKCORPRJ070749;OI344382
DSKCORPRJ070750;OI326966-OI341675
DSKCORPRJ070777;OI305394
DSKCORPRJ070795;OI308814
DSKCORPRJ070803;OI39113-OI55245
DSKCORPRJ070805;OI310923
DSKCORPRJ070809;OI414276
DSKCORPRJ070861;OI177271-OI152166
DSKCORPRJ070867;OI143899-OI73837
DSKCORPRJ070870;OI126857
DSKCORPRJ071368;OI415197
DSKCORPRJ071402;OI160481
DSKCORPRJ071483;162714
DSKCORPRJ071490;OI309958
DSKCORPRJ071548;OI121499
DSKCORPRJ071567;OI274286
DSKCORPRJ071585;OI345770
DSKCORPRJ071596;OI274275
DSKCORPRJ071720;OI327095
DSKCORPRJ071745;OI41164
DSKCORPRJ071858;oi368383
DSKCORPRJ071884;OI330975
DSKCORPRJ071912;272900
DSKCORPRJ071921;OI121983
DSKCORPRJ071923;OI61281
DSKCORPRJ071934;OI327140
DSKCORPRJ071939;BT030001
DSKCORPRJ071965;OI305304
DSKCORPRJ071970;OI270201
DSKCORPRJ071983;OI307475
DSKCORPRJ071986;OI241223
DSKCORPRJ071994;142738
DSKCORPRJ072002;OI367788
DSKCORPRJ072348;117867
DSKCORPRJ072349;OI152142
DSKCORPRJ072359;OI328466
DSKCORPRJ072644;OI378563
DSKCORPRJ072799;OI55245
DSKCORPRJ072816;OI242383
DSKCORPRJ072818;OI273352
DSKCORPRJ072857;OI63676
DSKCORPRJ072892;OI348450
DSKCORPRJ072900;OI174087
DSKCORPRJ072904;OI121913
DSKCORPRJ072915;242353
DSKCORPRJ072930;OI403604
DSKCORPRJ072970;OI370494
DSKCORPRJ072981;OI323216
DSKCORPRJ073516;OI121961
DSKCORPRJ073533;OI89421
DSKCORPRJ073541;OI42152
DSKCORPRJ073592;OI398287
DSKCORPRJ073599;117867
DSKCORPRJ076964;OI13124
DSKCORPRJ076969;OI99937
DSKCORPRJ076979;OI212189
DSKCORPRJ076990;OI16615
DSKCORPRJ076995;OI414277
DSKCORPRJ077003;OI319730
DSKCORPRJ077012;84396
DSKCORPRJ077024;60598
DSKCORPRJ077027;OI399809
DSKCORPRJ077036;OI180133
DSKCORPRJ077037;OI92006
DSKCORPRJ077052;OI367788
DSKCORPRJ077053;OI14144
DSKCORPRJ077082;OI212420
DSKCORPRJ077164;OI121713
DSKCORPRJ077226;OI124750
DSKCORPRJ077298;OI341173
DSKCORPRJ077300;OI320611
DSKCORPRJ077333;OI343192
DSKCORPRJ077573;OI034725
DSKCORPRJ077677;OI342363-OI312115
DSKCORPRJ077740;OI343193
DSKCORPRJ078456;OI315639
DSKCORPRJ078536;OI163305
DSKCORPRJ078589;OI343048
DSKCORPRJ078624;OI032884
DSKCORPRJ078637;OI345401
DSKCORPRJ078661;OI414275
DSKCORPRJ078672;OI35198
DSKCORPRJ078678;OI414274
DSKCORPRJ078706;OI399172
DSKCORPRJ078731;OI345769
DSKCORPRJ078749;OI145645
DSKCORPRJ078783;23248
DSKCORPRJ078802;OI273356
DSKCORPRJ078965;OI016209
DSKCORPRJ078984;OI37371
DSKCORPRJ081493;OI328364
DSKCORPRJ081516;OI274034
DSKCORPRJ081549;OI107452
DSKCORPRJ081575;OI140994
DSKCORPRJ081597;OI177052
DSKCORPRJ081598;OI327095-OI326781
DSKCORPRJ081599;OI177052
DSKCORPRJ081600;OI326578
DSKCORPRJ081604;OI326755-OI326784
DSKCORPRJ081607;OI326780
DSKCORPRJ081608;OI113891
DSKCORPRJ081611;OI344869
DSKCORPRJ081625;OI111810
DSKCORPRJ081631;OI326797-OI121977
DSKCORPRJ081632;OI326779
DSKCORPRJ081646;OI327142
DSKCORPRJ081651;OI326775
DSKCORPRJ081654;OI123504
DSKCORPRJ081661;OI205378
dskcorprj081674;OI083956
DSKCORPRJ081694;OI327084
DSKCORPRJ081744;OI327126
DSKCORPRJ081749;OI030942
DSKCORPRJ081750;OI031101
DSKCORPRJ081751;OI032977
DSKCORPRJ081752;OI213137
DSKCORPRJ081756;OI065368
DSKCORPRJ081768;OI326749
DSKCORPRJ081792;OI121570
DSKCORPRJ081819;OI031601
DSKCORPRJ081843;OI326994
DSKCORPRJ081862;OI121467
DSKCORPRJ081875;OI272893
DSKCORPRJ081908;OI398586
DSKCORPRJ081936;OI160020
DSKCORPRJ081950;OI326850
DSKCORPRJ081970;OI201652
DSKCORPRJ081971;OI273151
DSKCORPRJ083227;270466
DSKCORPRJ083419;OI343210
DSKCORPRJ083483;OI215385
DSKCORPRJ083545;OI306421
DSKCORPRJ083826;OI020073
DSKCORPRJ083957;OI270287
DSKCORPRJ084111;OI394676-OI340806-OI327192-OI371044-OI034468-OI394659-OI328643-OI328325-OI328361-OI310760-OI229907
DSKCORPRJ086864;OI37151
DSKCORPRJ086879;OI037116
DSKCORPRJ086958;OI394676-OI340806-OI327192-OI371044-OI034468-OI394659-OI328643-OI328325-OI328361-OI310760-OI229907
DSKCORPRJ087052;OI327080
DSKCORPRJ087272;OI327063
DSKCORPRJ089162;OI153672
DSKCORPRJ089190;TC044493
DSKCORPRJ089191;OI316625
DSKCORPRJ090874;OI209127
DSKCORPRJ090915;OI344596
DSKCORPRJ091506;OI346158
DSKCORPRJ091536;OI343323
DSKCORPRJ091552;OI348699
DSKCORPRJ091563;OI307478
DSKCORPRJ091564;OI122107
DSKCORPRJ091574;OI310857
DSKCORPRJ091588;OI315728
DSKCORPRJ091742;OI411993
DSKCORPRJ092079;OI152730
DSKCORPRJ092119;OI035325
DSKCORPRJ092537;oi342455
DSKCORPRJ093153;OI107452
DSKCORPRJ095605;oi343306
DSKCORPRJ096847;OI121613
DSKCORPRJ099724;OI312783
DSKCORPRJ099736;OI62024
DSKCORPRJ099737;OI122243
DSKCORPRJ099750;OI101009
DSKCORPRJ099764;BT027440
DSKCORPRJ099781;OI307329
DSKCORPRJ099790;OI405522
DSKCORPRJ099805;OI405523
DSKCORPRJ099809;OI306655
LAPCORPRJ102183;OI309608
DSKCORPRJ104547;OI121713
DSKCORPRJ105853;OI344556
DSKCORPRJ105854;OI190396
DSKCORPRJ105858;OI328731
DSKCORPRJ105863;OI121566
DSKCORPRJ105888;OI82697
DSKCORPRJ105891;OI343542
DSKCORPRJ105900;OI311966
DSKCORPRJ105907;OI309640
DSKCORPRJ105913;OI273825
DSKCORPRJ105927;OI341172
DSKCORPRJ105978;OI342362
DSKCORPRJ105999;OI150689
DSKCORPRJ106011;OI328368
DSKCORPRJ106013;OI310542
DSKCORPRJ106023;OI326772
DSKCORPRJ106025;OI274321
DSKCORPRJ106027;OI308506
DSKCORPRJ106047;OI230595
DSKCORPRJ106049;OI342359
DSKCORPRJ106050;OI121581
DSKCORPRJ106051;OI326878
DSKCORPRJ106149;OI159257
DSKCORPRJ106151;OI342455
DSKCORPRJ106239;OI42152
DSKCORPRJ106243;OI269335
DSKCORPRJ106249;OI342311
DSKCORPRJ107190;OI410016
DSKCORPRJ107693;OI322327
DSKCORPRJ107700;OI345366
DSKCORPRJ107763;OI405877
DSKCORPRJ107774;OI303145
DSKCORPRJ110956;OI346363
DSKCORPRJ111700;OI168084
DSKCORPRS062212;OI304866
DSKCORPRS062695;OI339214
DSKCORPRS071678;OI308306
DSKCORPRS071698;OI329973
DSKCORPRS071699;CR018301
DSKCORPRS071728;BT022546
DSKCORPRS103781;BT031832
DSKCORPRS107549;OI405468
DSKCORPSC061986;SC003141
DSKCORPSC062109;OI328893
DSKCORPSC071418;OI331594
DSKCORPSC072650;OI300556
DSKCORPSC080431;df070814
DSKCORPSC080814;OI298242
DSKCORPSC080815;OI298816
DSKCORPSC080827;OI298805
DSKCORPSC080829;OI298673
DSKCORPSC080830;OI299001
DSKCORPSC080915;OI328932
DSKCORPSC080989;OI299045
DSKCORPSC084233;OI299824
DSKCORPSC103615;OI343900
DSKCORPSC104337;OI302996
DSKCORPSC104570;OI328956
DSKCORPSC104662;OI302696
DSKCORPSC104666;OI300456
DSKCORPSE075005;OI309700
DSKCORPSP055595;OI311364
DSKCORPSP056334;308497
DSKCORPSP061484;OI328211
DSKCORPSP063004;OI327231
DSKCORPSP064266;OI330968
DSKCORPSP064294;OI330969
DSKCORPSP064396;OI330490
DSKCORPSP064398;OI309364
DSKCORPSP064471;272897
DSKCORPSP064479;OI312066
DSKCORPSP064493;OI328277
DSKCORPSP064575;OI324532
DSKCORPSP064611;OI065241
DSKCORPSP065965;OI328025
DSKCORPSP068099;OI341949
DSKCORPSP107659;OI405446
DSKOFCORJ069276;BC681966
GNAWK077200;BC608614
GNAWK68485;BC696591
GNAWK85556;BC696590
LABCORPRJ101194;OI330930
LAPCORPAC053693;OI329561
LAPCORPAC063250;OI286874
LAPCORPAC063255;AC000435
LAPCORPAC082941;OI333177
LAPCORPAC082995;OI330043
LAPCORPAC083388;OI329990
LAPCORPACO86357;OI298326
LAPCORPAC093037;OI341026
LAPCORPAC099822;OI145650
LAPCORPAC100089;OI321558
LAPCORPAC108413;OI329561
LAPCORPAC108435;OI329864
LAPCORPAC108716;OI285889
LAPCORPAL092385;OI327549
LAPCORPAL085045;OI331535
LAPCORPAL085080;OI330934
LAPCORPAL085094;OI212171
LAPCORPAL086316;OI024125
LAPCORPAL092286;OI345663
LAPCORPAL092291;OI327570
LAPCORPAL092416;OI343397
LAPCORPAL100080;OI327540
LAPCORPAL108406;OI331535
LAPCORPAL108438;OI213582
LAPCORPAL108439;OI327562
LAPCORPAL108441;OI024289
LAPCORPAL108599;OI327577
LAPCORPAL108694;OI330934
LAPCORPAM059574;OI104313
LAPCORPAM063638;OI320555
LAPCORPAM083139;OI327382
LAPCORPAM083156;OI327652
LAPCORPAM083185;OI327624
LAPCORPAM083186;OI327417
LAPCORPAM083189;OI327676
LAPCORPAM083198;OI26038
LAPCORPAM085328;OI026153
LAPCORPAM086574;OI133518
LAPCORPAM086587;OI398985
LAPCORPAM086596;OI026153
LAPCORPAM086632;OI305071
LAPCORPAM092146;OI413423
LAPCORPAM092351;OI327415
LAPCORPAM104928;OI060464
LAPCORPAM107321;OI316519
LAPCORPAM108151;OI326028
LAPCORPAM108155;OI327652
LAPCORPAM108208;OI327417
LAPCORPAM108211;OI209221
LAPCORPAM108213;OI305071
LAPCORPAM108214;OI327382
LAPCORPAM108216;OI320555
LAPCORPAM108308;OI327647
LAPCORPAM108324;OI327517
LAPCORPAM108559;OI104313
LAPCORPAM108583;OI398985
LAPCORPAM109334;OI327613
LAPCORPAM109722;OI321632
LAPCORPAM109729;OI327676
LAPCORPAP067502;OI327358
LAPCORPAP092071;OI327575
LAPCORPAP092074;OI330819
LAPCORPAP092133;OI026423
LAPCORPAP100090;OI402829
LAPCORPAP107312;OI327358
LAPCORPAP108712;OI327456
LAPCORPAP110933;OI327295
LAPCORPBA073482;OI022093
LAPCORPBA092792;OI270248
LAPCORPBA106216;OI22400
LAPCORPBA084205;OI327107
LAPCORPBA086268;OI327155
LAPCORPBA086318;OI326746
LAPCORPBA087152;OI326737
LAPCORPBA099771;OI341807
LAPCORPBA099969;OI326713
LAPCORPBA106075;OI022058
LAPCORPBA033779;BA21276
LAPCORPBA063466;OI317711
LAPCORPBA063488;OI310159
LAPCORPBA063915;OI327146
LAPCORPBA063963;OI327105
LAPCORPBA067994;OI320146
LAPCORPBA070311;OI326060
LAPCORPBA076944;OI327175
LAPCORPBA077101;OI327180
LAPCORPBA077124;OI327058
LAPCORPBA081995;OI327118
LAPCORPBA083912;OI339707
LAPCORPBA086521;OI211173
LAPCORPBA086270;OI214565
LAPCORPBA086285;OI370417
LAPCORPBA086294;OI023043
LAPCORPBA086313;OI326814
LAPCORPBA086319;OI326813
LAPCORPBA086324;OI021713
LAPCORPBA086332;OI022461
LAPCORPBA086348;OI022169
LAPCORPBA086362;OI021899
LAPCORPBA086380;OI041413
LAPCORPBA086409;OI327146
LAPCORPBA086410;OI327116
